Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
314,Lurantis,0.0024,2767.0,0.138,2095.0,0.132
315,Nosepass,0.00237,496.0,0.025,430.0,0.027
316,Electrode,0.00235,1016.0,0.051,832.0,0.052
317,Lycanroc,0.00231,1415.0,0.07,1033.0,0.065
318,Hariyama,0.00224,2053.0,0.102,1562.0,0.098
319,Avalugg-Hisui,0.00224,3000.0,0.149,2461.0,0.155
320,Dusknoir,0.00222,2619.0,0.13,2041.0,0.129
321,Trevenant,0.00221,3477.0,0.173,2671.0,0.168
322,Appletun,0.00219,2481.0,0.123,1719.0,0.108
323,Persian-Alola,0.00217,1151.0,0.057,986.0,0.062
324,Gloom,0.00216,188.0,0.009,153.0,0.01
325,Crabominable,0.00202,1508.0,0.075,1132.0,0.071
326,Wigglytuff,0.00202,1014.0,0.05,773.0,0.049
327,Leafeon,0.00199,3709.0,0.184,2740.0,0.173
328,Dipplin,0.00198,1262.0,0.063,928.0,0.058
329,Regirock,0.00193,2625.0,0.131,2057.0,0.13
330,Tauros-Paldea-Aqua,0.0019,2444.0,0.122,1865.0,0.118
331,Grafaiai,0.00188,6081.0,0.302,4940.0,0.311
332,Venomoth,0.00181,1339.0,0.067,901.0,0.057
333,Komala,0.00176,2429.0,0.121,1811.0,0.114
334,Malamar,0.0017,5358.0,0.266,3886.0,0.245
335,Slaking,0.00168,3068.0,0.153,2499.0,0.158
336,Exeggutor-Alola,0.00164,2318.0,0.115,1676.0,0.106
337,Victreebel,0.00161,1662.0,0.083,1245.0,0.078
338,Dodrio,0.00159,1591.0,0.079,1153.0,0.073
339,Oricorio-Pom-Pom,0.00158,2298.0,0.114,1536.0,0.097
340,Tauros-Paldea-Blaze,0.00158,3233.0,0.161,2545.0,0.16
341,Rhydon,0.00154,3701.0,0.184,2539.0,0.16
342,Meganium,0.00153,2279.0,0.113,1688.0,0.106
343,Beartic,0.00149,2562.0,0.127,1935.0,0.122
344,Ampharos,0.00143,2834.0,0.141,2159.0,0.136
345,Shiftry,0.00139,2551.0,0.127,1907.0,0.12
346,Murkrow,0.00137,1781.0,0.089,1450.0,0.091
347,Gothitelle,0.00133,930.0,0.046,699.0,0.044
348,Swanna,0.00132,522.0,0.026,366.0,0.023
349,Spiritomb,0.00125,3818.0,0.19,3013.0,0.19
350,Raichu,0.00123,2791.0,0.139,2038.0,0.128
351,Palossand,0.00122,2063.0,0.103,1620.0,0.102
352,Leavanny,0.00115,1953.0,0.097,1672.0,0.105
353,Zebstrika,0.00113,1620.0,0.081,1171.0,0.074
354,Jumpluff,0.00112,901.0,0.045,700.0,0.044
355,Mightyena,0.00111,462.0,0.023,343.0,0.022
356,Shaymin,0.00111,1362.0,0.068,965.0,0.061
357,Raichu-Alola,0.00105,2949.0,0.147,2254.0,0.142
358,Weezing,0.00099,1844.0,0.092,1505.0,0.095
359,Bellossom,0.00099,1608.0,0.08,1204.0,0.076
360,Farigiraf,0.00098,3828.0,0.19,2922.0,0.184
361,Mudsdale,0.00097,2390.0,0.119,1934.0,0.122
362,Qwilfish-Hisui,0.00095,688.0,0.034,570.0,0.036
363,Zoroark,0.00093,3418.0,0.17,1485.0,0.094
364,Lilligant,0.00093,1926.0,0.096,1429.0,0.09
365,Falinks,0.00087,1114.0,0.055,859.0,0.054
366,Sawsbuck,0.00083,1388.0,0.069,984.0,0.062
367,Magcargo,0.00081,968.0,0.048,745.0,0.047
368,Lanturn,0.00081,1584.0,0.079,1196.0,0.075
369,Houndoom,0.00079,2244.0,0.112,1622.0,0.102
370,Hoopa,0.00071,1419.0,0.071,1034.0,0.065
371,Clawitzer,0.00069,2769.0,0.138,2085.0,0.131
372,Flareon,0.00069,3119.0,0.155,2366.0,0.149
373,Ursaring,0.00068,1652.0,0.082,1217.0,0.077
374,Cryogonal,0.00068,3121.0,0.155,2349.0,0.148
375,Sandslash,0.00066,1225.0,0.061,992.0,0.063
376,Hattrem,0.00065,297.0,0.015,266.0,0.017
377,Solosis,0.00063,47.0,0.002,36.0,0.002
378,Gogoat,0.00062,1277.0,0.064,928.0,0.058
379,Bruxish,0.00057,1591.0,0.079,1158.0,0.073
380,Bastiodon,0.00056,2069.0,0.103,1617.0,0.102
381,Haunter,0.00055,1001.0,0.05,772.0,0.049
382,Arbok,0.00054,2336.0,0.116,1787.0,0.113
383,Basculin,0.00052,265.0,0.013,218.0,0.014
384,Misdreavus,0.00048,1149.0,0.057,896.0,0.056
385,Carbink,0.00048,1508.0,0.075,1241.0,0.078
386,Braviary,0.00045,2533.0,0.126,1703.0,0.107
387,Magmortar,0.00043,1658.0,0.082,1215.0,0.077
388,Tropius,0.00043,2149.0,0.107,1598.0,0.101
389,Luvdisc,0.00043,188.0,0.009,146.0,0.009
390,Hitmonchan,0.00039,1898.0,0.094,1422.0,0.09
391,Regigigas,0.00039,1998.0,0.099,1593.0,0.1
392,Swalot,0.00036,475.0,0.024,372.0,0.023
393,Oricorio,0.00035,715.0,0.036,535.0,0.034
394,Psyduck,0.00034,89.0,0.004,72.0,0.005
395,Articuno-Galar,0.00031,2067.0,0.103,1508.0,0.095
396,Banette,0.00031,1172.0,0.058,820.0,0.052
397,Camerupt,0.00028,1017.0,0.051,776.0,0.049
398,Dugtrio,0.00028,1102.0,0.055,916.0,0.058
399,Dedenne,0.00028,926.0,0.046,705.0,0.044
400,Dewgong,0.00028,566.0,0.028,447.0,0.028
401,Dunsparce,0.00026,803.0,0.04,622.0,0.039
402,Luxray,0.00026,3304.0,0.164,2445.0,0.154
